indicador,pais,ano,valor
GC.XPN.TOTL.GD.ZS,ARG,2024,
GC.XPN.TOTL.GD.ZS,ARG,2023,21.00878925888
GC.XPN.TOTL.GD.ZS,ARG,2022,21.865226929082
GC.XPN.TOTL.GD.ZS,ARG,2021,22.8967903877811
GC.XPN.TOTL.GD.ZS,ARG,2020,25.8405452538391
GC.XPN.TOTL.GD.ZS,ARG,2019,22.0364845686943
GC.XPN.TOTL.GD.ZS,ARG,2018,22.6709430512171
GC.XPN.TOTL.GD.ZS,BRA,2024,
GC.XPN.TOTL.GD.ZS,BRA,2023,32.4311004876146
GC.XPN.TOTL.GD.ZS,BRA,2022,31.6414358454924
GC.XPN.TOTL.GD.ZS,BRA,2021,29.498104322117
GC.XPN.TOTL.GD.ZS,BRA,2020,34.9119748287171
GC.XPN.TOTL.GD.ZS,BRA,2019,31.1361557852699
GC.XPN.TOTL.GD.ZS,BRA,2018,32.2312978931774
GC.XPN.TOTL.GD.ZS,CHN,2024,
GC.XPN.TOTL.GD.ZS,CHN,2023,
GC.XPN.TOTL.GD.ZS,CHN,2022,
GC.XPN.TOTL.GD.ZS,CHN,2021,
GC.XPN.TOTL.GD.ZS,CHN,2020,
GC.XPN.TOTL.GD.ZS,CHN,2019,
GC.XPN.TOTL.GD.ZS,CHN,2018,
GC.XPN.TOTL.GD.ZS,DEU,2024,
GC.XPN.TOTL.GD.ZS,DEU,2023,
GC.XPN.TOTL.GD.ZS,DEU,2022,31.174891399437
GC.XPN.TOTL.GD.ZS,DEU,2021,32.6685205602959
GC.XPN.TOTL.GD.ZS,DEU,2020,32.1505946585061
GC.XPN.TOTL.GD.ZS,DEU,2019,27.8804335534648
GC.XPN.TOTL.GD.ZS,DEU,2018,27.3644959420855
GC.XPN.TOTL.GD.ZS,ESP,2024,
GC.XPN.TOTL.GD.ZS,ESP,2023,34.0441499010857
GC.XPN.TOTL.GD.ZS,ESP,2022,35.3378206987178
GC.XPN.TOTL.GD.ZS,ESP,2021,38.3621185067432
GC.XPN.TOTL.GD.ZS,ESP,2020,40.3694073931071
GC.XPN.TOTL.GD.ZS,ESP,2019,32.1149229088067
GC.XPN.TOTL.GD.ZS,ESP,2018,31.7256136391383
GC.XPN.TOTL.GD.ZS,FRA,2024,
GC.XPN.TOTL.GD.ZS,FRA,2023,47.2580360132692
GC.XPN.TOTL.GD.ZS,FRA,2022,48.8603228368138
GC.XPN.TOTL.GD.ZS,FRA,2021,49.9944440065304
GC.XPN.TOTL.GD.ZS,FRA,2020,51.9636314257982
GC.XPN.TOTL.GD.ZS,FRA,2019,45.8897902925031
GC.XPN.TOTL.GD.ZS,FRA,2018,47.1000773214216
GC.XPN.TOTL.GD.ZS,GBR,2024,
GC.XPN.TOTL.GD.ZS,GBR,2023,41.2292290721047
GC.XPN.TOTL.GD.ZS,GBR,2022,40.6510938418388
GC.XPN.TOTL.GD.ZS,GBR,2021,42.9472430652547
GC.XPN.TOTL.GD.ZS,GBR,2020,47.5326631273768
GC.XPN.TOTL.GD.ZS,GBR,2019,36.4058676559426
GC.XPN.TOTL.GD.ZS,GBR,2018,37.1969170536007
GC.XPN.TOTL.GD.ZS,ITA,2024,
GC.XPN.TOTL.GD.ZS,ITA,2023,47.2805094852674
GC.XPN.TOTL.GD.ZS,ITA,2022,48.3702644238252
GC.XPN.TOTL.GD.ZS,ITA,2021,49.6527178126937
GC.XPN.TOTL.GD.ZS,ITA,2020,50.3444915572159
GC.XPN.TOTL.GD.ZS,ITA,2019,42.2948307679073
GC.XPN.TOTL.GD.ZS,ITA,2018,42.5027354888588
GC.XPN.TOTL.GD.ZS,MEX,2024,
GC.XPN.TOTL.GD.ZS,MEX,2023,22.4106159687135
GC.XPN.TOTL.GD.ZS,MEX,2022,22.3057833165138
GC.XPN.TOTL.GD.ZS,MEX,2021,20.8923836626833
GC.XPN.TOTL.GD.ZS,MEX,2020,21.6980704238964
GC.XPN.TOTL.GD.ZS,MEX,2019,19.8103353511537
GC.XPN.TOTL.GD.ZS,MEX,2018,19.8697097098835
GC.XPN.TOTL.GD.ZS,USA,2024,
GC.XPN.TOTL.GD.ZS,USA,2023,24.8982825568771
GC.XPN.TOTL.GD.ZS,USA,2022,25.0456420310833
GC.XPN.TOTL.GD.ZS,USA,2021,31.7949992963696
GC.XPN.TOTL.GD.ZS,USA,2020,32.2719048246125
GC.XPN.TOTL.GD.ZS,USA,2019,22.6817722119359
GC.XPN.TOTL.GD.ZS,USA,2018,22.3027770799805
