ticker,nome,setor,industry,market_cap,total_debt,total_cash,total_equity,debt_to_equity,current_ratio,quick_ratio,interest_coverage,profit_margin,operating_margin,return_on_assets,return_on_equity,beta,trailing_pe,forward_pe,price_to_book,classificacao_risco
POSI3.SA,Positivo Tecnologia S.A.,Technology,Computer Hardware,553455808.0,1299090944.0,605894016.0,,83.447,1.687,0.823,,0.00291,0.0651,0.036,0.007900001,0.09,57.0,2.3659306,0.3567916,Medio Risco
TOTS3.SA,TOTVS S.A.,Technology,Software - Application,16645889024.0,4862867968.0,1432828032.0,,91.66,1.618,0.975,,0.15223,0.20716,0.06689,0.16914,0.378,19.517006,13.557512,3.302256,Medio Risco
LWSA3.SA,Locaweb Serviços de Internet S.A.,Technology,Software - Infrastructure,2278996224.0,74124000.0,288599008.0,,3.163,1.136,1.02,,-0.14559,0.14777,-0.040009998,-0.08613,0.172,,10.927955,0.97121465,Medio Risco
MLAS3.SA,Grupo Multi S.A.,Technology,Electronics & Computer Distribution,1364559360.0,471049984.0,624617984.0,,15.248,2.084,1.246,,0.04481,0.09528,0.029849999,0.059809998,0.52,7.6818185,4.71843,0.45973885,Medio Risco
INTB3.SA,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira,Industrials,Building Products & Equipment,4564594688.0,975507968.0,1303137024.0,,30.814,2.653,1.774,,0.12363,0.11489,0.05945,0.18765,-0.025,7.9261365,6.986353,1.4520662,Medio Risco
BMOB3.SA,Bemobi Mobile Tech S.A.,Communication Services,Entertainment,1950587264.0,45595000.0,349216000.0,,4.573,1.778,1.705,,0.08913,0.100039996,0.05408,0.15548,0.176,12.50532,10.495536,2.0482664,Medio Risco
PSSA3.SA,Porto Seguro S.A.,Financial Services,Insurance - Diversified,34139250688.0,820825984.0,13041094656.0,,5.237,1.21,0.962,,0.083100006,0.13226,0.060949996,0.2516,0.462,9.3767605,8.551015,2.1951118,Medio Risco
ITSA4.SA,Itaúsa S.A.,Industrials,Conglomerates,150846668800.0,12652000256.0,6970999808.0,,13.324,2.382,1.787,,2.0302498,0.04705,0.0026800002,0.184,0.265,8.855264,6.962081,1.6730889,Medio Risco
BBSE3.SA,BB Seguridade Participações S.A.,Financial Services,Insurance - Diversified,76038701056.0,0.0,6378334208.0,,,2.453,2.453,,0.87751,0.95981,0.32808998,0.75649,0.126,8.263713,8.830764,6.015049,Medio Risco
ALSO3.SA,,,,,,,,,,,,,,,,,,,,Medio Risco
LJQQ3.SA,Lojas Quero-Quero S.A.,Consumer Cyclical,Specialty Retail,271061600.0,2438159872.0,773102976.0,,710.175,1.861,1.523,,-0.06843,-0.011080001,0.0,-0.43785998,0.32,,18.714285,0.78963226,Alto Risco
SQIA3.SA,,,,,,,,,,,,,,,,,,,,Medio Risco
