ticker,ano,ativo_total,passivo_total,patrimonio_liquido,divida_total,caixa,divida_longo_prazo,receita,ebitda,lucro_liquido,despesa_juros
POSI3.SA,2025,4473551000.0,2897559000.0,1575992000.0,1296652000.0,618362000.0,819532000.0,3080456000.0,302186000.0,8638000.0,199375000.0
POSI3.SA,2024,4466987000.0,2820866000.0,1635829000.0,1318010000.0,566929000.0,941744000.0,3332332000.0,329020000.0,80378000.0,169467000.0
POSI3.SA,2023,4581833000.0,2985406000.0,1587400000.0,1419095000.0,591375000.0,690894000.0,3474259000.0,552839000.0,246760000.0,242458000.0
POSI3.SA,2022,4199825000.0,2793505000.0,1396026000.0,1561600000.0,426576000.0,876281000.0,4398539000.0,636733000.0,303117000.0,279858000.0
TOTS3.SA,2025,9452171000.0,4008714000.0,5105280000.0,1836282000.0,1785703000.0,1477270000.0,5771867000.0,1645034000.0,891741000.0,261972000.0
TOTS3.SA,2024,8531721000.0,3544600000.0,4681352000.0,1661549000.0,1942162000.0,1472286000.0,4914747000.0,1277022000.0,717513000.0,204326000.0
TOTS3.SA,2023,8828860000.0,3816189000.0,4720574000.0,1744067000.0,3129162000.0,1491495000.0,4440443000.0,1203387000.0,734820000.0,237300000.0
TOTS3.SA,2022,10616193000.0,6031344000.0,4308616000.0,1759542000.0,2735765000.0,1488713000.0,3792932000.0,1136946000.0,498136000.0,239223000.0
TOTS3.SA,2021,,,,,,,,,,
LWSA3.SA,2025,3638385000.0,1170498000.0,2467887000.0,75473000.0,371931000.0,,1488531000.0,-155022000.0,-225450000.0,7375000.0
LWSA3.SA,2024,4010622000.0,1264779000.0,2745843000.0,74427000.0,447378000.0,,1370032000.0,201778000.0,42194000.0,6449000.0
LWSA3.SA,2023,4604388000.0,1722242000.0,2882146000.0,77429000.0,1188223000.0,0.0,1292756000.0,14437000.0,-73735000.0,5943000.0
LWSA3.SA,2022,4727321000.0,1751742000.0,2975579000.0,77291000.0,1448231000.0,41000.0,1135391000.0,169651000.0,28273000.0,6630000.0
MLAS3.SA,2025,5253490000.0,2285392000.0,2968098000.0,573149000.0,656538000.0,147138000.0,3923762000.0,254248000.0,121899000.0,56348000.0
MLAS3.SA,2024,5308700000.0,2416955000.0,2891745000.0,711507000.0,744553000.0,421983000.0,3388498000.0,-139034000.0,-321233000.0,53173000.0
MLAS3.SA,2023,5458038000.0,2241008000.0,3217030000.0,913574000.0,1045987000.0,462587000.0,3499079000.0,-724510000.0,-836178000.0,76250000.0
MLAS3.SA,2022,6877963000.0,2824389000.0,4053574000.0,1249781000.0,663125000.0,151700000.0,4383845000.0,252486000.0,89967000.0,52497000.0
INTB3.SA,2025,5325682000.0,2311511000.0,2991500000.0,889227000.0,1070774000.0,620762000.0,4460379000.0,701649000.0,482772000.0,104835000.0
INTB3.SA,2024,5569521000.0,2602985000.0,2941909000.0,941730000.0,887969000.0,712397000.0,4756146000.0,694756000.0,528934000.0,82087000.0
INTB3.SA,2023,4888285000.0,2264763000.0,2600824000.0,927327000.0,1303169000.0,793532000.0,4103676000.0,710286000.0,544231000.0,114352000.0
INTB3.SA,2022,4987382000.0,2739100000.0,2231037000.0,1097474000.0,1556826000.0,829675000.0,4232623000.0,610223000.0,480262000.0,70512000.0
INTB3.SA,2021,,,,,,,,,,
BMOB3.SA,2025,1865280000.0,891923000.0,954572000.0,24771000.0,241156000.0,18857000.0,1696407000.0,269125000.0,156660000.0,1268000.0
BMOB3.SA,2024,1627212000.0,457173000.0,1166497000.0,7226000.0,378610000.0,0.0,1498065000.0,231819000.0,119467000.0,904000.0
BMOB3.SA,2023,1443377000.0,357035000.0,1083608000.0,4271000.0,262973000.0,,1307844000.0,195466000.0,86600000.0,4911000.0
BMOB3.SA,2022,1349318000.0,290792000.0,1058526000.0,4935000.0,359295000.0,,1475824000.0,211172000.0,85566000.0,11402000.0
PSSA3.SA,2025,55864993000.0,39993770000.0,15741223000.0,719917000.0,1897923000.0,588580000.0,42747662000.0,,3380884000.0,50079000.0
PSSA3.SA,2024,47913736000.0,33768338000.0,14050794000.0,576394000.0,2191494000.0,437026000.0,36526730000.0,,2644845000.0,87614000.0
PSSA3.SA,2023,44239599000.0,31741801000.0,12415262000.0,1240579000.0,1105403000.0,1080974000.0,33835349000.0,,2266149000.0,316938000.0
PSSA3.SA,2022,39914390000.0,29335980000.0,10520460000.0,2355859000.0,2433908000.0,2180142000.0,24438834000.0,,1139971000.0,333620000.0
ITSA4.SA,2025,111187000000.0,17808000000.0,88755000000.0,11686000000.0,4039000000.0,10091000000.0,8249000000.0,19142000000.0,16487000000.0,1492000000.0
ITSA4.SA,2024,114625000000.0,19628000000.0,90443000000.0,11885000000.0,4852000000.0,9738000000.0,8235000000.0,17629000000.0,14778000000.0,1373000000.0
ITSA4.SA,2023,105348000000.0,18298000000.0,82952000000.0,11514000000.0,5977000000.0,9662000000.0,7383000000.0,16520000000.0,13466000000.0,1569000000.0
ITSA4.SA,2022,96637000000.0,20102000000.0,72797000000.0,12654000000.0,4472000000.0,11125000000.0,8486000000.0,17676000000.0,13674000000.0,2265000000.0
ITSA4.SA,2021,,,,,,,,,,
BBSE3.SA,2025,23097696000.0,12713303000.0,10384393000.0,,3167000.0,,6136484000.0,,9017329000.0,2186000.0
BBSE3.SA,2024,21615587000.0,11920166000.0,9695421000.0,,5301000.0,,5539516000.0,,8703353000.0,1860000.0
BBSE3.SA,2023,18272622000.0,8456140000.0,9816482000.0,,5658000.0,,5068585000.0,,7947203000.0,1940000.0
BBSE3.SA,2022,16570461000.0,8533731000.0,8036730000.0,,3567000.0,,4643615000.0,,6196415000.0,1171000.0
BBSE3.SA,2021,,,,,,,,,,
