,count,mean,std,min,25%,50%,75%,max
ativo_total,36.0,22704783027.7778,33257239265.4413,1349318000.0,4554762500.0,5513779500.0,21986114250.0,114625000000.0
divida_total,32.0,2277441812.5,3765780297.7346,4271000.0,449219000.0,1019602000.0,1682178500.0,12654000000.0
patrimonio_liquido,36.0,13606922472.2222,25552418735.8627,954572000.0,2408674500.0,3104265000.0,9958459750.0,90443000000.0
receita,36.0,7458561333.3333,10105449915.6049,1135391000.0,3269363000.0,4391192000.0,5863021250.0,42747662000.0
ebitda,28.0,2912453464.2857,6193957484.8748,-724510000.0,208823500.0,440929500.0,1153556250.0,19142000000.0
endividamento_total,32.0,0.1255,0.1036,0.003,0.0181,0.1201,0.1908,0.3718
cobertura_juros,28.0,23.8173,60.8421,-21.0199,2.392,6.2647,12.8323,256.4369
ROA,36.0,0.0898,0.1268,-0.1532,0.0219,0.0678,0.1001,0.4349
ROE,36.0,0.1822,0.2574,-0.2599,0.0471,0.1585,0.1879,0.8977
margem_ebitda,28.0,0.418,0.7477,-0.2071,0.0986,0.1494,0.2626,2.3205
