titulo,fonte,ano
Assessing the value of artificial intelligence (AI) in governmental public procurement,Journal of Public Procurement,2025
Digital Procurement 4.0: Redesigning Government Contracting Systems with AI-Driven Ethics, Compliance, and Performance Optimization,International Journal of Scientific Research in Computer Science Engineering and Information Technology,2024
Data-intensive Innovation and the State: Evidence from AI Firms in China,The Review of Economic Studies,2022
Optimized artificial intelligence models for predicting project award price,Automation in Construction,2015
Impact of Digital Capabilities and Technology Skills on Effectiveness of Government in Public Services,2020 International Conference on Data Analytics for Business and Industry: Way Towards a Sustainable Economy (ICDABI),2020
Procurement as AI Governance,IEEE Transactions on Technology and Society,2021
Leveraging AI, Machine Learning, And Big Data For Enhancing Tax Compliance, Fraud Detection, And Predictive Analytics In Government Financial Management,SSRN Electronic Journal,2025
A multi-criterion decision analysis based on PCA for analyzing the digital technology skills in the effectiveness of government services,2020 International Conference on Decision Aid Sciences and Application (DASA),2020
Artificial intelligence in education : challenges and opportunities for sustainable development,MINISTERIO DE EDUCACIÓN,2019
Global burden of 369 diseases and injuries in 204 countries and territories, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019,The Lancet,2020
Economic costs of childhood stunting to the private sector in low- and middle-income countries,EClinicalMedicine,2022
Brazil's health-care reform: social movements and civil society,The Lancet,2011
Oral diseases: a global public health challenge,The Lancet,2019
Artificial Ladies against corruption: searching for legitimacy at the Brazilian Supreme Audit Institution,Revista de Contabilidade e Organizações,2019
The Brazilian health system: history, advances, and challenges,The Lancet,2011
Towards circularity in supply chains: The case of agtechs,Computers & Industrial Engineering,2024
Alcohol use and burden for 195 countries and territories, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016,The Lancet,2018
Automation and New Tasks: How Technology Displaces and Reinstates Labor,The Journal of Economic Perspectives,2019
Blockchain technology in the energy sector: A systematic review of challenges and opportunities,Renewable and Sustainable Energy Reviews,2018
Harnessing AI for public health: India's roadmap,Frontiers in Public Health,2024
Estimating the Global Burden of Endemic Canine Rabies,PLoS neglected tropical diseases,2015
Prevention and treatment of low back pain: evidence, challenges, and promising directions,The Lancet,2018
Impacts of AI-based anti-corruption audits on risk aversion in decision-making: a case study of the Brazilian ALICE tool,Global Public Policy and Governance,2024
Private Benefits of Control: An International Comparison,The Journal of Finance,2004
Reuters Institute Digital News Report 2015,SSRN Electronic Journal,2015
Why Do Management Practices Differ across Firms and Countries?,The Journal of Economic Perspectives,2010
Global, Regional, and National Cancer Incidence, Mortality, Years of Life Lost, Years Lived With Disability, and Disability-Adjusted Life-Years for 29 Cancer Groups, 1990 to 2017,JAMA Oncology,2019
Impact of COVID-19 pandemic on information management research and practice: Transforming education, work and life,International Journal of Information Management,2020
Introduction to special issue algorithmic transparency in government: Towards a multi-level perspective,Information Polity,2020
Algorithmic Accountability,Digital Journalism,2014
Transparency and accountability of government algorithms: the case of the Brazilian electronic voting system,Cadernos EBAPE BR,2020
Regulating by Robot: Administrative Decision Making in the Machine-Learning Era,eYLS (Yale Law School),2017
Will Algorithms Blind People? The Effect of Explainable AI and Decision-Makers’ Experience on AI-supported Decision-Making in Government,Social Science Computer Review,2020
The Tyranny of Data? The Bright and Dark Sides of Data-Driven Decision-Making for Social Good,Studies in big data,2017
Transparency and Algorithmic Governance,eYLS (Yale Law School),2019
Harnessing the power of synthetic data in healthcare: innovation, application, and privacy,npj Digital Medicine,2023
Blockchain for COVID-19: Review, Opportunities, and a Trusted Tracking System,Arabian Journal for Science and Engineering,2020
Interpreting E-government and Development: Efficiency, Transparency or Governance at a Distance?,Palgrave Macmillan UK eBooks,2009
